date,event,keyword,image
1970s,"Dean Corll lured boys to his home with candies. He then raped, tortured, and murderd at least 29 young men.",the candy man,
2014,A head that later identified to belong to an old woman was found in Pennsylvania with rubber balls in the eye sockets.,rubber balls,
1956,"Barbara Grimes and Patricia Grimes were found dead by the side of a road in the middle of nowhere, but during the investigation, many witnesses claimed that they've seen the sisters after the day they died.",dead rebirth,
2011,Hao Li abducted and kept six women in the basement of his home. Some of the women eventually had a weird affection towards him and helped him to kill the ones that were trying to rebel.,affection for the murderer,
2008,Yongming Zhang killed and dismembered eleven people. He cut out their eyeballs and soak them in alcohol and the remains fed dogs.,eyeballs in alcohol,
1966,A black man murdered three women during the house robbery in Japan becasue he thought the way they looked at him made him feel uncomfortable.,inferiority complex,
1976,At least four children were abducted and slain by a serial killer in Cleveland.,Oakland County Child Killer,
1989,A year after a young woman went missing. A polaroid photo of her being abducted was found in the parking lot of a convenience store in Florida.,mysterious polaroid photo,
1888,"A serial killer murdered five prostitutes in total and sent half of a kidney from the victim to the Whitechapel Vigilance Committee to threaten the public, but the criminal was never found.",Jack the Ripper,
1900s,A man had raped more than a thousand men and murdered twenty one of them because he was sexually assaulted when he was in prison.,rampage avenge,
1997,"A 14-year-old man murdered a teenage boy, cut up his throat, drank his blood, washed his head and placed it in front of his school.",head found in school,
1960s,"Albert Dekker was hung in his apartment bathroom, had needles in his arms and explicit language written all over his body with lipsticks. The bathroom was locked inside and there was no other exits.",locked room,
1983,Zhimin Long murdered 48 people and stored them at home.,rampage killing,
1986,"Ten women were raped and killed. There were random objected being stuffed in their sexual organ. The oldest was 71, while the youngest was 13.",stuffed body,
2009,"Two man and a woman were having a party, but the men were starving so that they killed the girl and ate her body.",corpse eater,
2003,A Korean man killed 19 people and ate their organs because his hatred towards the rich.,corpse eater,
2010,Shijie Zeng killed one of his classmates for assaulting his appearance.,inferiority complex,
1996,Aiqing Diao went missing for nine days and found dead and dismembered into more than 2000 pieces. Some of the remains were boiled.,2000 pieces,
1990,"Wenge Jia killed 20 people in a year, the 21st one he planned to kill fell in love with him and helped him with murdering.",affection for the murderer,
1988,Gao raped and killed 11 women in total. He only targeted young women dressed in red.,red dress,
2013,Four people have sexually assaulted a woman for 8 hours and eventually killed her and her husband.,8 hours sexual assault,
2009,"Zhijun Kuang, a 13-year-old boy was found hung in his own house, wearing a red dress, and being tightened by rope in a very professional way, but the murderer wasn't found.",boy in red,
2012,Wu abducted and killed a woman in his house and chopped her body into 400 pieces.,400 pieces,
1967,Lucila Lalu's legs were found in a pile of trash.,dismembered,
1979,"All four children of the Tan family were murdered in their apartment in Singapore, and their bodies were mutilated and stacked on top of each other inside the bathroom.",family ,
1993,"A Malaysian witch doctor convinced a politician to lie down and close eyes for a ritual, and then cut his head off and mutilated his body.",witch ritual,
1982,"A 12-year-old boy died after taking Tylenol for her cold, and it turned out that the bottle of Tylenol was once purchased by someone else and returned poisoned.",Tylenol,
1934,"A man murdered 13 people, decapitated the victims while they were still alive and ripped out a victim's heart.",heart ripper,
1948,"A man was found dead near the Somerton Beach in Adelaide. No signs of violence or struggle was found on him, but there was a mysterious book that had a ciphered message only visible through UV light, and a note saying that ""It is ended.""",ciphered book,
1984,"Zhiheng Huang killed the Lin family following a financial dispute. He dismembered the bodies, cooked the remains, and served their meat inside the pork buns in the restaurant the Lin owned.",corpse eater,
1980s,Lam Kor-wan targeted 15 female victims and strangled them with wires on rainy day only.,rainy day,
2017,The bodies of two missing Chinese women were found  in a mountainous area near Tokyo. Their bodies were folded and stuffed in sperate suitcases.,suitcases on mountain,
2016,Satoshi Uematsu stabbed 19 people at a care home as they slept because his discrimination towards the disabled.,discrimination,
2005,Hiroshi Maeue deceived 3 members in an internet-based suicide club. He invited a boy to commit suicide together but ended up suffocating him to death.,suicide club,
1995,"members of the Aum Supreme Truth doomsday cult released 5 bags of poisonous gas on 3 subway lines in Tokyo, causing death of 13 people and 6000 other injured.",doomsday cult,
